# The following 108 genes derive from GeneOntology annotations for:
#   BER ((go:0006284) AND (taxonomy_id:9606)), 
#   TLS ((go:0019985) AND (taxonomy_id:9606)), 
#   and NER ((go:0006289) AND (taxonomy_id:9606))								
# GWAS_start and GWAS_end correspond to the gene coordinates +/- 1Mb. 
#   Their coordinates are provided in BED format (0-based coordinates)																
Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	UniProtKB/Swiss-Prot ID	GWAS_start	GWAS_end
ENSG00000114026	OGG1	3	9791628	9829903	1	O15527	8791627	10829903
ENSG00000009413	REV3L	6	111620234	111804918	-1	O60673	110620233	112804918
ENSG00000136273	HUS1	7	47735328	48019178	-1	O60921	46735327	49019178
ENSG00000051341	POLQ	3	121150278	121264853	-1	O75417	120150277	122264853
ENSG00000129071	MBD4	3	129149787	129158878	-1	O95243	128149786	130158878
ENSG00000141510	TP53	17	7565097	7590856	-1	P04637	6565096	8590856
ENSG00000205581	HMGN1	21	40714241	40721573	-1	P05114	39714240	41721573
ENSG00000070501	POLB	8	42195972	42229326	1	P06746	41195971	43229326
ENSG00000012061	ERCC1	19	45910591	45982086	-1	P07992	44910590	46982086
ENSG00000132646	PCNA	20	5095599	5107272	-1	P12004	4095598	6107272
ENSG00000076248	UNG	12	109535379	109548797	1	P13051	108535378	110548797
ENSG00000117748	RPA2	1	28218035	28241257	-1	P15927	27218034	29241257
ENSG00000137309	HMGA1	6	34204650	34214008	1	P17096	33204649	35214008
ENSG00000104884	ERCC2	19	45853095	45874176	-1	P18074	44853094	46874176
ENSG00000105486	LIG1	19	48618702	48673860	-1	P18858	47618701	49673860
ENSG00000073050	XRCC1	19	44047192	44084625	-1	P18887	43047191	45084625
ENSG00000163161	ERCC3	2	128014866	128051752	-1	P19447	127014865	129051752
ENSG00000136936	XPA	9	100437191	100459639	-1	P23025	99437190	101459639
ENSG00000132383	RPA1	17	1732996	1803376	1	P27694	732995	2803376
ENSG00000100823	APEX1	14	20923350	20925927	1	P27695	19923349	21925927
ENSG00000062822	POLD1	19	50887461	50921273	1	P28340	49887460	51921273
ENSG00000134899	ERCC5	13	103497194	103528345	1	P28715	102497193	104528345
ENSG00000103152	MPG	16	127006	135852	1	P29372	-872995	1135852
ENSG00000110768	GTF2H1	11	18343842	18388591	1	P32780	17343841	19388591
ENSG00000106399	RPA3	7	7676149	7758238	-1	P35244	6676148	8758238
ENSG00000105258	POLR2I	19	36604612	36606248	-1	P36954	35604611	37606248
ENSG00000168496	FEN1	11	61560109	61564716	1	P39748	60560108	62564716
ENSG00000147400	CETN2	X	151995517	151999321	-1	P41208	150995516	152999321
ENSG00000106628	POLD2	7	44154286	44163957	-1	P49005	43154285	45163957
ENSG00000005156	LIG3	17	33307513	33332083	1	P49916	32307512	34332083
